Transcription Factor Family	Gene Symbol	Gene Name	Also Known As	Source Material for Membership
ETS DOMAIN TRANSCRIPTION FACTORS	Ets98B	Ets at 98B	D-ets4, D-ets-4	(Hammonds et al., 2013, Chen et al., 1992)
ETS DOMAIN TRANSCRIPTION FACTORS	pnt	pointed	PntP1, PntP2, D-ets-2, pointed-P1, pointedP2	(Hammonds et al., 2013, Chen et al., 1992)
FORK HEAD BOX TRANSCRIPTION FACTORS	bin	biniou	FoxF	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	CG32006			(Pfreundt et al., 2010, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	CHES-1-like	Checkpoint suppressor 1-like	anon-EST:Posey7	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	Crg-1	Circadianly Regulated Gene	crg1	(Pfreundt et al., 2010)
FORK HEAD BOX TRANSCRIPTION FACTORS	croc	crocodile	FD1, FoxC	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	fd3F	forkhead domain 3F		(Pfreundt et al., 2010, Lee and Frasch, 2004)
FORK HEAD BOX TRANSCRIPTION FACTORS	fd19B	forkhead domain 19B		(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	fd59A	forkhead domain 59A	FD3	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	fd96Ca	forkhead domain 96Ca	FD4	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	fd96Cb	forkhead domain 96Cb	FD5	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	fd102C	forkhead domain 102C		(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	fkh	fork head	Secretion enhancer-binding protein 2, Sebp2	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	FoxK	Forkhead box K	Mnf, fd68A	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	FoxL1	Forkhead box L1	fd64A, FD2	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	foxo	forkhead box, sub-group O	dFOXO, forkhead box sub-group O, Forkhead box O, FOXO1, forkhead transcription factor	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	FoxP	Forkhead box P	fd85E, forkhead domain 85E	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	jumu	jumeau	Dom, jumeaux, Domina, l(3)06142, l(3)06439	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	slp1	sloppy paired 1	slp, sloppy-paired, sloppy paired, slp-1, FD6	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
FORK HEAD BOX TRANSCRIPTION FACTORS	slp2	sloppy paired 2	slp, sloppy-paired, FD7, sloppy paired, FoxG	(Pfreundt et al., 2010, Lee and Frasch, 2004, Mazet et al., 2003)
GATA TRANSCRIPTION FACTORS	GATAd	GATAd	dGATAd	(Gillis et al., 2008, Senger et al., 2006)
GATA TRANSCRIPTION FACTORS	GATAe	GATAe	dGATAe	(Gillis et al., 2008, Senger et al., 2006)
GATA TRANSCRIPTION FACTORS	grn	grain	GATAc, gra, dGATAc, l(3)84Fa, Gata-c	(Gillis et al., 2008, Senger et al., 2006)
GATA TRANSCRIPTION FACTORS	pnr	pannier	dGATAa, GATA	(Gillis et al., 2008, Senger et al., 2006)
GATA TRANSCRIPTION FACTORS	srp	serpent	dGATAb, GATAb, l(3)01549, ABF, GATA	(Gillis et al., 2008, Senger et al., 2006)
GLIAL CELL MISSING TRANSCRIPTION FACTORS	gcm	glial cells missing	glide/gcm, glide, glial cell missing, glial cell deficient	(Soustelle and Giangrande, 2007, Alfonso and Jones, 2002, Akiyama et al., 1996)
GLIAL CELL MISSING TRANSCRIPTION FACTORS	gcm2	gcm2	glide2, glial cells missing 2	(Soustelle and Giangrande, 2007, Alfonso and Jones, 2002, Akiyama et al., 1996)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Bap111	Brahma associated protein 111kD	dalao, BAF57	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	bbx	bobby sox		(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	CG4617			(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	CG12104			(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	cic	capicua	fettucine, fet, E(Dl)D49	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	D	Dichaete	fish, fish-hook, DM36, DM33, DM10	(Pfreundt et al., 2010, Sessa and Bianchi, 2007)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Dsp1	Dorsal switch protein 1	Hmg14B	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Hmg-2	High mobility group protein 2	BEST:LD07122	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	HmgD	High mobility group protein D	HMG-D, HMG D, HMG1	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	HmgZ	HMG protein Z	HMG-Z	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Lpt	Lost PHDs of trr	cmi, cara mitad	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	pan	pangolin	dTCF, TCF, l(4)13, LEF-1, T cell factor	(Pfreundt et al., 2010, Sessa and Bianchi, 2007)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	polybromo	polybromo	PB, bap180, baf180	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Sox14	Sox box protein 14	DSox14	(Pfreundt et al., 2010, Sessa and Bianchi, 2007)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Sox15	Sox box protein 15	SoxE, SoxF	(Pfreundt et al., 2010, Sessa and Bianchi, 2007)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Sox21a	Sox21a		(Pfreundt et al., 2010, Sessa and Bianchi, 2007)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Sox21b	Sox21b	sox-like	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Sox100B	Sox100B	SoxB	(Pfreundt et al., 2010, Sessa and Bianchi, 2007)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Sox102F	Sox102F	SoxD	(Pfreundt et al., 2010, Sessa and Bianchi, 2007)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	SoxN	SoxNeuro	DM64	(Pfreundt et al., 2010, Sessa and Bianchi, 2007)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	Ssrp	Structure specific recognition protein	SSRP1, dSSRP1	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	TFAM	mitochondrial transcription factor A	mtTFA, d-TFAM	(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	tHMG1	testis-enriched HMG-box-containing protein 1		(Pfreundt et al., 2010)
HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS	tHMG2	testis-enriched HMG-box-containing protein 2		(Pfreundt et al., 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	abd-A	abdominal A	abdA, iab-2, iab-4, iab-3, iab4	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Abd-B	Abdominal B	AbdB, iab-7, Mcp, Fab-7, iab-6	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Antp	Antennapedia	ANT-C, Hu, Scx, DmAntp, l(3)84Ba	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	bcd	bicoid		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	btn	buttonless		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	cad	caudal	38E.19, cd	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Dfd	Deformed	DmDfd	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	eve	even skipped	E(eve), Complementation group F, l(2)46Ce	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	ftz	fushi tarazu	Dm-Ftz	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	ind	intermediate neuroblasts defective		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	lab	labial	F90-2, F24	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	pb	proboscipedia	l(3)04498, proposcipedia	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	ro	rough		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Scr	Sex combs reduced	Msc, Multiple sex comb	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Ubx	Ultrabithorax	bx, pbx, Cbx, bxd, bithorax	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	zen	zerknullt	z1, zerknult	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS	zen2	zerknullt-related	z2	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
LIM HOMEOBOX TRANSCRIPTION FACTORS	ap	apterous		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Hobert and Westphal, 2000)
LIM HOMEOBOX TRANSCRIPTION FACTORS	Awh	Arrowhead	l(3)63Ea	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Hobert and Westphal, 2000)
LIM HOMEOBOX TRANSCRIPTION FACTORS	CG4328			(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
LIM HOMEOBOX TRANSCRIPTION FACTORS	Lim1	LIM homeobox 1	dlim1, dlim-1, BcDNA:GH04929, Lim kinase	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
LIM HOMEOBOX TRANSCRIPTION FACTORS	Lim3	Lim3	l(2)37Bd	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Hobert and Westphal, 2000)
LIM HOMEOBOX TRANSCRIPTION FACTORS	Lmx1a	LIM homeobox transcription factor 1 alpha		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
LIM HOMEOBOX TRANSCRIPTION FACTORS	tup	tailup	islet, isl	(Bürglin and Affolter, 2016, Hobert and Westphal, 2000)
MADF-BESS DOMAIN TRANSCRIPTION FACTORS	Adf1	Adh transcription factor 1	Adf-1, nal, nalyot, l(2)01349, l(2)04065	(Shukla et al., 2014, Pfreundt et al., 2010, Bhaskar and Courey, 2002)
MADF-BESS DOMAIN TRANSCRIPTION FACTORS	Dlip3	Dorsal interacting protein 3	Dip3	(Shukla et al., 2014, Pfreundt et al., 2010, Bhaskar and Courey, 2002)
MADF-BESS DOMAIN TRANSCRIPTION FACTORS	stwl	stonewall		(Shukla et al., 2014, Pfreundt et al., 2010, Bhaskar and Courey, 2002)
MAD HOMOLOGY DOMAIN TRANSCRIPTION FACTORS	Mad	Mothers against dpp	pMad, Mothers Against Decapentaplegic, Smad, dMad, Mother against decapentaplegic	(Hammonds et al., 2013, Li et al., 2007)
MAD HOMOLOGY DOMAIN TRANSCRIPTION FACTORS	Med	Medea	l(3)SG70, dSmad4, smad4, l(3)11m-254	(Hammonds et al., 2013, Li et al., 2007)
MAD HOMOLOGY DOMAIN TRANSCRIPTION FACTORS	NfI	Nuclear factor I		(Hammonds et al., 2013)
MAD HOMOLOGY DOMAIN TRANSCRIPTION FACTORS	Smox	Smad on X	dSmad2, Smad2, Smad, Sad, l(1)G0348	(Hammonds et al., 2013, Li et al., 2007)
MADS-BOX TRANSCRIPTION FACTORS	bs	blistered	DSRF, SRF, pruned, D-SRF, Drosophila Serum Response Factor	(Han et al., 2004)
MADS-BOX TRANSCRIPTION FACTORS	Mef2	Myocyte enhancer factor 2	Dmef2, D-mef2, Myocyte enhancing factor 2, Mef-2, Dmef	(Han et al., 2004)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	bap	bagpipe	NK3, NK-3, bgp	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Kim and Nirenberg, 1989)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	B-H1	BarH1	Bar	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	B-H2	BarH2	Bar	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	bsh	brain-specific homeobox	E86	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	C15	C15	clawless, cll	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG11085			(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG15696			(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG18599			(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	CG34031		BP1068	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Dbx	Dbx		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Dll	Distal-less	Ba, l(2)01092, Brista, Distall-less	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Dr	Drop	msh, muscle segment homeobox, muscle specific homeobox, msh1, msh-1	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	E5	E5		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	ems	empty spiracles		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	en	engrailed	Eng, spt, en1, spermatheca	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	exex	extra-extra	Hb9, dHb9	(Bürglin and Affolter, 2016, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	H2.0	Homeodomain protein 2.0		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	HGTX	HGTX	Nkx6, Nk6	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	HHEX	Hematopoietically expressed homeobox		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	Hmx	H6-like-homeobox		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	inv	invected	in, engrailed-related	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	lbe	ladybird early	ladybird, lb	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	lbl	ladybird late	ladybird, lb	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	lms	lateral muscles scarcer		(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	NK7.1	NK7.1		(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	scro	scarecrow	l7, l(3)Lh7	(Bürglin and Affolter, 2016, Zhong and Holland, 2010)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	slou	slouch	S59, NK-1, Nk1, S59/NK-1	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Kim and Nirenberg, 1989)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	tin	tinman	NK-4, msh-2, NK4/msh-2, NK4, msh2	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Kim and Nirenberg, 1989)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	unpg	unplugged	unp, upg	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001)
NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS	vnd	ventral nervous system defective	NK-2, vnd/NK-2, NK2, EC6, EG:118B3.1	(Bürglin and Affolter, 2016, Zhong and Holland, 2010, Popovici et al., 2001, Kim and Nirenberg, 1989)
NUCLEAR FACTOR - KAPPA B	Dif	Dorsal-related immunity factor		(Hetru and Hoffmann, 2009, Hultmark, 2003, Stein et al., 1998, Dushay et al., 1996, Petersen et al., 1995)
NUCLEAR FACTOR - KAPPA B	dl	dorsal	NFκB, GSd447	(Hetru and Hoffmann, 2009, Hultmark, 2003)
NUCLEAR FACTOR - KAPPA B	Rel	Relish	NF-κB, ird4, l(3)neo36, NFκB	(Hetru and Hoffmann, 2009, Hultmark, 2003, Dushay et al., 1996)
NUCLEAR FACTOR OF ACTIVATED T-CELLS TRANSCRIPTION FACTORS	NFAT	NFAT nuclear factor	EP1335, MESR1, Misexpression Suppressor of Ras 1, Rel domain protein	(Freeman et al., 2011, Pfreundt et al., 2010)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	dsf	dissatisfaction		(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	EcR	Ecdysone receptor	EcR-B1, EcRB1, DmEcR, EcR-A, ecdysteroid receptor	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Eip75B	Ecdysone-induced protein 75B	E75, E75A, E75B, E75C, l(3)neo25	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Eip78C	Ecdysone-induced protein 78C	E78, E78B, E78A, nuclear hormone receptor, NR1E1	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	ERR	estrogen-related receptor	dERR	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	ftz-f1	ftz transcription factor 1	βFTZ-F1, ftzf1, ftz-f1α, β FTZ-F1, l(3)03649	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hnf4	Hepatocyte nuclear factor 4	dHNF4, NR2A4, HNF4α, Hnf-4, HNF-4(D)	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hr3	Hormone receptor 3	DHR3, Hr46, Hormone receptor-like in 46, Complementation group D, NR1F4	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hr4	Hormone receptor 4	DHR4, EP1232, EG:133E12.2, EG:BACH61I5.1, NR6A2	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hr38	Hormone receptor-like in 38	DHR38, 38E.7, 38E.3, NR4A4	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hr39	Hormone receptor-like in 39	DHR39, ftz-F1β, fs(2)neo8, fs(2)04443, NR5B1	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hr51	Hormone receptor 51	unf, DHR51, unfulfilled, Nr2e3	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hr78	Hormone-receptor-like in 78	DHR78, XR78E/F, NR2D1	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hr83	Hormone receptor 83	DHR83, NR2E5	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	Hr96	Hormone receptor-like in 96	DHR96, NR1J1	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	svp	seven up	ck16, NR2F3, l(3)ck16, SVP1, don	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	tll	tailless	NR2E2	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS	usp	ultraspiracle	DmUSP, CF1, EG:22E5.1, dUSP, NR2B4	(Fahrbach et al., 2012, Lin et al., 2009, King-Jones and Thummel, 2005, Maglich et al., 2001)
NUCLEAR RECEPTOR SUBFAMILY 0 (LIGAND-INDEPENDENT) TRANSCRIPTION FACTORS	eg	eagle	egon, egl, spy	(Naggan Perl et al., 2013, Fahrbach et al., 2012, Maglich et al., 2001, Thummel, 1995)
NUCLEAR RECEPTOR SUBFAMILY 0 (LIGAND-INDEPENDENT) TRANSCRIPTION FACTORS	kni	knirps	ri, radius incompletus	(Naggan Perl et al., 2013, Fahrbach et al., 2012, Maglich et al., 2001, Thummel, 1995)
NUCLEAR RECEPTOR SUBFAMILY 0 (LIGAND-INDEPENDENT) TRANSCRIPTION FACTORS	knrl	knirps-like	knirps-related, knirps related	(Naggan Perl et al., 2013, Fahrbach et al., 2012, Maglich et al., 2001, Thummel, 1995)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	brk	brinker	ssg-1	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	bun	bunched	shs, l(2)00255, Dm_2L:60722, TSC-22	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Camta	Calmodulin-binding transcription activator	dCAMTA, croaker, cro, Calmodulin-binding transcription factor, DmCAMTA	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	CG9727			(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	CG11970		BcDNA:LD23876	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	CG12659			(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	CG15011			(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	CG32772			(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	D1	D1 chromosomal protein		(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	dac	dachshund	dachsund, dacshund, l(2)36Ae, Dach, BG:DS02780.3	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	Deaf1	Deformed epidermal autoregulatory factor-1	DEAF-1	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	E(bx)	Enhancer of bithorax	NURF301, NURF, p301, Nurf-215, dNURF	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	elB	elbow B	el, elbow, BG:DS06238.3	(Pfreundt et al., 2010)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	ewg	erect wing	EC3, EG:BACR37P7.7, l(1)EC3, l(1)1Ag	(Hammonds et al., 2013)
OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS	fs(1)h	female sterile (1) homeotic	fsh, Fs(1)h-L, fs(1)1456, fs(1)M16, l(1)7Da	(Hammonds et al., 2013)
